GameID,GameDist,CumulativeDist
26624-1,1997.6,1997.6
26624-2,1922.03,3919.63
26624-3,443.61,4363.24
26624-4,1617.13,5980.37
26624-5,1682.31,7662.68
26624-6,1704.16,9366.84
26624-7,1675.1100000000001,11041.95
26624-8,2013.75,13055.7
26624-9,1249.59,14305.29
26624-10,1432.81,15738.1
26624-11,1824.01,17562.11
26624-12,1577.88,19139.99
26624-13,1428.0,20567.99
26624-14,1111.31,21679.3
26624-15,1508.18,23187.48
26624-16,1892.46,25079.94
26624-17,1765.33,26845.27
26624-18,1375.02,28220.29
26624-19,970.16,29190.45
26624-20,2118.75,31309.2
26624-21,1642.47,32951.67
26624-22,1985.78,34937.45
26624-23,1543.2,36480.65
26624-24,1666.18,38146.83
26624-25,1717.15,39863.98
26624-26,1322.89,41186.87
26624-27,1346.02,42532.89
26624-28,2090.3,44623.19
26624-29,1527.68,46150.87
26624-30,1265.39,47416.26
26624-31,1851.72,49267.98
26624-32,1733.98,51001.96
27363-1,1924.3700000000001,1924.3700000000001
27363-2,1672.13,3596.5
27363-3,1440.14,5036.64
27363-4,1800.53,6837.17
27363-5,2217.81,9054.98
27363-6,2536.35,11591.33
27363-7,1849.9,13441.23
27363-8,1603.86,15045.09
27363-9,2291.98,17337.07
27363-10,2011.16,19348.23
27363-11,1928.48,21276.71
27363-12,1754.58,23031.29
27363-13,1201.68,24232.97
27363-14,2209.31,26442.28
27363-15,1805.56,28247.84
27363-16,1835.57,30083.41
27363-17,1713.2,31796.61
27363-18,1619.89,33416.5
27363-19,1901.39,35317.89
27363-20,1779.14,37097.03
27363-21,2015.26,39112.29
27363-22,1830.16,40942.450000000004
27363-23,1462.12,42404.57
27363-24,1847.3500000000001,44251.92
27363-25,1974.93,46226.85
27363-26,1704.73,47931.58
27363-27,1520.42,49452.0
27363-28,1463.56,50915.56
27363-29,1808.79,52724.35
27363-30,1898.32,54622.67
27363-31,1675.1000000000001,56297.770000000004
30068-1,3531.71,3531.71
30068-2,3067.39,6599.1
30068-3,3430.37,10029.47
30068-4,3644.5,13673.97
30068-5,2515.2000000000003,16189.17
30068-6,3172.88,19362.05
30068-7,2403.28,21765.33
30068-8,2732.4,24497.73
30068-9,3883.26,28380.99
30068-10,2820.56,31201.55
30068-11,3936.01,35137.56
30068-12,3157.04,38294.6
30068-13,3047.19,41341.79
30068-14,3733.07,45074.86
30068-15,3092.29,48167.15
30068-16,2767.84,50934.99
30068-17,2387.56,53322.55
30068-18,1168.0,54490.55
30068-19,2147.3,56637.85
30068-20,1999.35,58637.200000000004
30068-21,1890.36,60527.56
30068-22,1948.38,62475.94
30068-23,3402.16,65878.1
30068-24,2712.36,68590.46
30068-25,2752.75,71343.21
30068-26,2007.71,73350.92
30068-27,1829.4,75180.32
30068-28,2629.52,77809.84
30068-29,2641.95,80451.79000000001
30068-30,2447.94,82899.73
30068-31,1860.16,84759.89
30068-32,2860.59,87620.48
30953-1,2679.39,2679.39
30953-2,2855.9,5535.29
30953-3,1875.53,7410.82
30953-4,1423.91,8834.73
30953-5,2139.27,10974.0
30953-6,2236.79,13210.79
30953-7,2343.9900000000002,15554.78
30953-8,2098.89,17653.67
30953-9,1525.37,19179.04
30953-10,967.12,20146.16
30953-11,1370.06,21516.22
30953-12,1784.02,23300.239999999998
30953-13,1621.01,24921.25
30953-14,1570.9,26492.15
30953-15,1339.05,27831.2
30953-16,1602.3,29433.5
30953-17,1734.97,31168.47
30953-18,537.9300000000001,31706.4
30953-19,987.05,32693.45
30953-20,549.42,33242.87
30953-21,753.31,33996.18
31070-1,1759.91,1759.91
31070-2,2386.96,4146.87
31070-3,287.05,4433.92
31070-4,1408.76,5842.68
31070-5,618.85,6461.53
31070-6,1059.06,7520.59
31070-7,1080.03,8600.619999999999
31070-8,1538.85,10139.47
31070-9,1233.61,11373.08
31266-1,1174.55,1174.55
31266-2,1051.9,2226.45
31266-3,1229.7,3456.15
31266-4,1160.55,4616.7
31266-5,1011.12,5627.82
31266-6,1082.54,6710.360000000001
31266-7,1243.02,7953.38
31266-8,1175.5,9128.880000000001
31266-9,1100.11,10228.99
31266-10,1100.63,11329.62
31266-11,1291.21,12620.83
31266-12,1043.07,13663.9
31266-13,1590.84,15254.74
31266-14,1469.6200000000001,16724.36
31266-15,1511.3,18235.66
31266-16,965.84,19201.5
31266-17,983.1,20184.6
31266-18,1003.48,21188.08
31266-19,1076.49,22264.57
31266-20,1405.29,23669.86
31266-21,1184.3,24854.16
31266-22,1117.46,25971.62
31266-23,1059.02,27030.64
