GameID,PlayerKey,PlayerGame,Position,GameDist,CumulativeDist,StadiumType,FieldType,Weather,InjurySeverity
26624-1,26624,1,QB,1997.6,1997.6,Outdoor,Synthetic,Clear,0
26624-10,26624,10,QB,1432.81,15738.1,Outdoor,Natural,Clear,0
26624-11,26624,11,QB,1824.01,17562.11,Outdoor,Synthetic,PartlyCloudy,0
26624-12,26624,12,QB,1577.88,19139.99,Outdoor,Synthetic,Cloudy,0
26624-13,26624,13,QB,1428.0,20567.99,Outdoor,Natural,Clear,0
26624-14,26624,14,QB,1111.31,21679.3,Outdoor,Natural,PartlyCloudy,0
26624-15,26624,15,QB,1508.18,23187.48,Outdoor,Synthetic,Cloudy,0
26624-16,26624,16,QB,1892.46,25079.94,Outdoor,Synthetic,Cloudy,0
26624-17,26624,17,QB,1765.33,26845.27,Outdoor,Synthetic,Cloudy,0
26624-18,26624,18,QB,1375.02,28220.29,Outdoor,Natural,Rain,0
26624-19,26624,19,QB,970.16,29190.45,Indoor,Synthetic,Indoor,0
26624-2,26624,2,QB,1922.03,3919.63,Indoor,Synthetic,PartlyCloudy,0
26624-20,26624,20,QB,2118.75,31309.2,Outdoor,Synthetic,Clear,0
26624-21,26624,21,QB,1642.47,32951.67,Outdoor,Synthetic,PartlyCloudy,0
26624-22,26624,22,QB,1985.78,34937.45,Outdoor,Synthetic,Cloudy,0
26624-23,26624,23,QB,1543.2,36480.65,Outdoor,Natural,Clear,0
26624-24,26624,24,QB,1666.18,38146.83,Outdoor,Synthetic,PartlyCloudy,0
26624-25,26624,25,QB,1717.15,39863.98,Outdoor,Synthetic,Clear,0
26624-26,26624,26,QB,1322.89,41186.87,Outdoor,Natural,Clear,0
26624-27,26624,27,QB,1346.02,42532.89,Outdoor,Synthetic,PartlyCloudy,0
26624-28,26624,28,QB,2090.3,44623.19,Outdoor,Synthetic,Cloudy,0
26624-29,26624,29,QB,1527.68,46150.87,Outdoor,Natural,PartlyCloudy,0
26624-3,26624,3,QB,443.61,4363.24,Outdoor,Synthetic,Clear,0
26624-30,26624,30,QB,1265.39,47416.26,Outdoor,Natural,Cloudy,0
26624-31,26624,31,QB,1851.72,49267.98,Outdoor,Synthetic,Clear,0
26624-32,26624,32,QB,1733.98,51001.96,Outdoor,Synthetic,Clear,0
26624-4,26624,4,QB,1617.13,5980.37,Outdoor,Synthetic,Clear,0
26624-5,26624,5,QB,1682.31,7662.68,Outdoor,Natural,Clear,0
26624-6,26624,6,QB,1704.16,9366.84,Outdoor,Synthetic,Cloudy,0
26624-7,26624,7,QB,1675.11,11041.95,Outdoor,Synthetic,Cloudy,0
26624-8,26624,8,QB,2013.75,13055.7,Outdoor,Synthetic,Rain,0
26624-9,26624,9,QB,1249.59,14305.29,Outdoor,Natural,PartlyCloudy,0
27363-1,27363,1,QB,1924.37,1924.37,Indoor,Synthetic,Indoor,0
27363-10,27363,10,QB,2011.16,19348.23,Indoor,Synthetic,Clear,0
27363-11,27363,11,QB,1928.48,21276.71,Outdoor,Natural,Clear,0
27363-12,27363,12,QB,1754.58,23031.29,Indoor,Synthetic,Clear,0
27363-13,27363,13,QB,1201.68,24232.97,Indoor,Synthetic,Cloudy,0
27363-14,27363,14,QB,2209.31,26442.28,Indoor,Synthetic,Unknown,0
27363-15,27363,15,QB,1805.56,28247.84,Indoor,Synthetic,Clear,0
27363-16,27363,16,QB,1835.57,30083.41,Outdoor,Natural,Clear,0
27363-17,27363,17,QB,1713.2,31796.61,Indoor,Synthetic,PartlyCloudy,0
27363-18,27363,18,QB,1619.89,33416.5,Indoor,Synthetic,Clear,0
27363-19,27363,19,QB,1901.39,35317.89,Indoor,Synthetic,Unknown,0
27363-2,27363,2,QB,1672.13,3596.5,Indoor,Synthetic,PartlyCloudy,0
27363-20,27363,20,QB,1779.14,37097.03,Unknown,Synthetic,PartlyCloudy,0
27363-21,27363,21,QB,2015.26,39112.29,Indoor,Synthetic,PartlyCloudy,0
27363-22,27363,22,QB,1830.16,40942.45,Outdoor,Natural,PartlyCloudy,0
27363-23,27363,23,QB,1462.12,42404.57,Indoor,Synthetic,Indoor,0
27363-24,27363,24,QB,1847.35,44251.92,Indoor,Synthetic,Cloudy,0
27363-25,27363,25,QB,1974.93,46226.85,Outdoor,Synthetic,Clear,0
27363-26,27363,26,QB,1704.73,47931.58,Indoor,Synthetic,Indoor,0
27363-27,27363,27,QB,1520.42,49452.0,Indoor,Synthetic,Indoor,0
27363-28,27363,28,QB,1463.56,50915.56,Indoor,Synthetic,Clear,0
27363-29,27363,29,QB,1808.79,52724.35,Outdoor,Natural,Cloudy,0
27363-3,27363,3,QB,1440.14,5036.64,Outdoor,Natural,Clear,0
27363-30,27363,30,QB,1898.32,54622.67,Outdoor,Natural,Clear,0
27363-31,27363,31,QB,1675.1,56297.77,Indoor,Synthetic,Indoor,0
27363-4,27363,4,QB,1800.53,6837.17,Outdoor,Natural,Unknown,0
27363-5,27363,5,QB,2217.81,9054.98,Indoor,Synthetic,Cloudy,0
27363-6,27363,6,QB,2536.35,11591.33,Outdoor,Natural,Rain,0
27363-7,27363,7,QB,1849.9,13441.23,Indoor,Synthetic,Clear,0
27363-8,27363,8,QB,1603.86,15045.09,Indoor,Synthetic,PartlyCloudy,0
27363-9,27363,9,QB,2291.98,17337.07,Outdoor,Synthetic,Cloudy,0
30068-1,30068,1,WR,3531.71,3531.71,Indoor,Synthetic,Indoor,0
30068-10,30068,10,WR,2820.56,31201.55,Unknown,Synthetic,Clear,0
30068-11,30068,11,WR,3936.01,35137.56,Indoor,Natural,Unknown,0
30068-12,30068,12,WR,3157.04,38294.6,Indoor,Natural,Unknown,0
30068-13,30068,13,WR,3047.19,41341.79,Indoor,Natural,Unknown,0
30068-14,30068,14,WR,3733.07,45074.86,Outdoor,Natural,Cloudy,0
30068-15,30068,15,WR,3092.29,48167.15,Indoor,Natural,Clear,0
30068-16,30068,16,WR,2767.84,50934.99,Outdoor,Synthetic,Clear,0
30068-17,30068,17,WR,2387.56,53322.55,Indoor,Natural,Indoor,0
30068-18,30068,18,WR,1168.0,54490.55,Outdoor,Natural,Clear,0
30068-19,30068,19,WR,2147.3,56637.85,Indoor,Natural,Indoor,0
30068-2,30068,2,WR,3067.39,6599.1,Indoor,Synthetic,PartlyCloudy,0
30068-20,30068,20,WR,1999.35,58637.2,Indoor,Natural,Indoor,0
30068-21,30068,21,WR,1890.36,60527.56,Outdoor,Natural,Clear,0
30068-22,30068,22,WR,1948.38,62475.94,Indoor,Synthetic,Indoor,0
30068-23,30068,23,WR,3402.16,65878.1,Indoor,Natural,Clear,0
30068-24,30068,24,WR,2712.36,68590.46,Indoor,Natural,Indoor,0
30068-25,30068,25,WR,2752.75,71343.21,Outdoor,Natural,Clear,0
30068-26,30068,26,WR,2007.71,73350.92,Indoor,Natural,Clear,0
30068-27,30068,27,WR,1829.4,75180.32,Unknown,Natural,PartlyCloudy,0
30068-28,30068,28,WR,2629.52,77809.84,Outdoor,Natural,Snow,0
30068-29,30068,29,WR,2641.95,80451.79000000001,Indoor,Natural,Clear,0
30068-3,30068,3,WR,3430.37,10029.47,Indoor,Natural,Indoor,0
30068-30,30068,30,WR,2447.94,82899.73,Indoor,Synthetic,Unknown,0
30068-31,30068,31,WR,1860.16,84759.89,Indoor,Natural,Clear,0
30068-32,30068,32,WR,2860.59,87620.48,Outdoor,Synthetic,Cloudy,0
30068-4,30068,4,WR,3644.5,13673.97,Indoor,Natural,Indoor,0
30068-5,30068,5,WR,2515.2000000000003,16189.17,Outdoor,Natural,Rain,0
30068-6,30068,6,WR,3172.88,19362.05,Indoor,Natural,Unknown,0
30068-7,30068,7,WR,2403.28,21765.33,Outdoor,Natural,Rain,0
30068-8,30068,8,WR,2732.4,24497.73,Outdoor,Natural,Clear,0
30068-9,30068,9,WR,3883.26,28380.99,Outdoor,Natural,Unknown,0
30953-1,30953,1,LB,2679.39,2679.39,Outdoor,Synthetic,Clear,0
30953-10,30953,10,LB,967.12,20146.16,Unknown,Synthetic,PartlyCloudy,0
30953-11,30953,11,LB,1370.06,21516.22,Outdoor,Natural,PartlyCloudy,0
30953-12,30953,12,LB,1784.02,23300.24,Outdoor,Synthetic,Cloudy,0
30953-13,30953,13,LB,1621.01,24921.25,Outdoor,Natural,Clear,0
30953-14,30953,14,LB,1570.9,26492.15,Outdoor,Natural,Cloudy,0
30953-15,30953,15,LB,1339.05,27831.2,Outdoor,Natural,Cloudy,0
30953-16,30953,16,LB,1602.3,29433.5,Outdoor,Natural,Clear,0
30953-17,30953,17,LB,1734.97,31168.47,Outdoor,Natural,Clear,0
30953-18,30953,18,LB,537.9300000000001,31706.4,Outdoor,Natural,PartlyCloudy,0
30953-19,30953,19,LB,987.05,32693.45,Outdoor,Natural,PartlyCloudy,0
30953-2,30953,2,LB,2855.9,5535.29,Outdoor,Natural,Cloudy,0
